13.03.2021 20:48:23.538 0 DEBUG     HttpRequest: read request QtWebApp\httpserver\httprequest.cpp 27
13.03.2021 20:48:23.538 0 DEBUG     HttpRequest: from 127.0.0.1: GET /css/styleauth.css HTTP/1.1 QtWebApp\httpserver\httprequest.cpp 44
13.03.2021 20:48:23.538 0 DEBUG     HttpRequest: received header host: localhost:8096 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.538 0 DEBUG     HttpRequest: received header user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.538 0 DEBUG     HttpRequest: received header accept: text/css,*/*;q=0.1 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.538 0 DEBUG     HttpRequest: received header accept-language: ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.538 0 DEBUG     HttpRequest: received header accept-encoding: gzip, deflate QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.538 0 DEBUG     HttpRequest: received header connection: keep-alive QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.538 0 DEBUG     HttpRequest: received header referer: http://localhost:8096/sign-in QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.539 0 DEBUG     HttpRequest: headers completed QtWebApp\httpserver\httprequest.cpp 103
13.03.2021 20:48:23.539 0 DEBUG     HttpRequest: expect no body QtWebApp\httpserver\httprequest.cpp 127
13.03.2021 20:48:23.539 0 DEBUG     HttpRequest: extract and decode request parameters QtWebApp\httpserver\httprequest.cpp 216
13.03.2021 20:48:23.539 0 DEBUG     HttpRequest: extract cookies QtWebApp\httpserver\httprequest.cpp 262
13.03.2021 20:48:23.539 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): received request QtWebApp\httpserver\httpconnectionhandler.cpp 192
13.03.2021 20:48:23.539 0 DEBUG     StaticFileController: Cache miss for /css/styleauth.css QtWebApp\httpserver\staticfilecontroller.cpp 62
13.03.2021 20:48:23.539 0 DEBUG     StaticFileController: Open file D:/QtProjects/Morse/etc/static/css/styleauth.css QtWebApp\httpserver\staticfilecontroller.cpp 78
13.03.2021 20:48:23.559 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): finished request QtWebApp\httpserver\httpconnectionhandler.cpp 231
13.03.2021 20:48:23.569 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): read input QtWebApp\httpserver\httpconnectionhandler.cpp 155
13.03.2021 20:48:23.569 0 DEBUG     HttpRequest: read request QtWebApp\httpserver\httprequest.cpp 27
13.03.2021 20:48:23.569 0 DEBUG     HttpRequest: from 127.0.0.1: GET /favicon.ico HTTP/1.1 QtWebApp\httpserver\httprequest.cpp 44
13.03.2021 20:48:23.570 0 DEBUG     HttpRequest: received header host: localhost:8096 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.570 0 DEBUG     HttpRequest: received header user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.570 0 DEBUG     HttpRequest: received header accept: image/webp,*/* QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.570 0 DEBUG     HttpRequest: received header accept-language: ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.570 0 DEBUG     HttpRequest: received header accept-encoding: gzip, deflate QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.570 0 DEBUG     HttpRequest: received header connection: keep-alive QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.570 0 DEBUG     HttpRequest: received header referer: http://localhost:8096/sign-in QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:23.570 0 DEBUG     HttpRequest: headers completed QtWebApp\httpserver\httprequest.cpp 103
13.03.2021 20:48:23.570 0 DEBUG     HttpRequest: expect no body QtWebApp\httpserver\httprequest.cpp 127
13.03.2021 20:48:23.570 0 DEBUG     HttpRequest: extract and decode request parameters QtWebApp\httpserver\httprequest.cpp 216
13.03.2021 20:48:23.570 0 DEBUG     HttpRequest: extract cookies QtWebApp\httpserver\httprequest.cpp 262
13.03.2021 20:48:23.570 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): received request QtWebApp\httpserver\httpconnectionhandler.cpp 192
13.03.2021 20:48:23.570 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): finished request QtWebApp\httpserver\httpconnectionhandler.cpp 231
13.03.2021 20:48:27.988 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): read input QtWebApp\httpserver\httpconnectionhandler.cpp 155
13.03.2021 20:48:27.988 0 DEBUG     HttpRequest: read request QtWebApp\httpserver\httprequest.cpp 27
13.03.2021 20:48:27.988 0 DEBUG     HttpRequest: from 127.0.0.1: GET /sign-up HTTP/1.1 QtWebApp\httpserver\httprequest.cpp 44
13.03.2021 20:48:27.988 0 DEBUG     HttpRequest: received header host: localhost:8096 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:27.988 0 DEBUG     HttpRequest: received header user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:27.988 0 DEBUG     HttpRequest: received header accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:27.988 0 DEBUG     HttpRequest: received header accept-language: ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:27.988 0 DEBUG     HttpRequest: received header accept-encoding: gzip, deflate QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:27.988 0 DEBUG     HttpRequest: received header connection: keep-alive QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:27.988 0 DEBUG     HttpRequest: received header upgrade-insecure-requests: 1 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:27.989 0 DEBUG     HttpRequest: headers completed QtWebApp\httpserver\httprequest.cpp 103
13.03.2021 20:48:27.989 0 DEBUG     HttpRequest: expect no body QtWebApp\httpserver\httprequest.cpp 127
13.03.2021 20:48:27.989 0 DEBUG     HttpRequest: extract and decode request parameters QtWebApp\httpserver\httprequest.cpp 216
13.03.2021 20:48:27.989 0 DEBUG     HttpRequest: extract cookies QtWebApp\httpserver\httprequest.cpp 262
13.03.2021 20:48:27.989 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): received request QtWebApp\httpserver\httpconnectionhandler.cpp 192
13.03.2021 20:48:27.989 0 DEBUG     TemplateCache: trying cached reg QtWebApp\templateengine\templatecache.cpp 22
13.03.2021 20:48:27.989 0 DEBUG     TemplateCache: trying file D:/QtProjects/Morse/etc/static/html/reg.html QtWebApp\templateengine\templateloader.cpp 54
13.03.2021 20:48:27.989 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): finished request QtWebApp\httpserver\httpconnectionhandler.cpp 231
13.03.2021 20:48:28.057 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): read input QtWebApp\httpserver\httpconnectionhandler.cpp 155
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: read request QtWebApp\httpserver\httprequest.cpp 27
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: from 127.0.0.1: GET /css/stylereg.css HTTP/1.1 QtWebApp\httpserver\httprequest.cpp 44
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: received header host: localhost:8096 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: received header user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: received header accept: text/css,*/*;q=0.1 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: received header accept-language: ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: received header accept-encoding: gzip, deflate QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: received header connection: keep-alive QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: received header referer: http://localhost:8096/sign-up QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: headers completed QtWebApp\httpserver\httprequest.cpp 103
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: expect no body QtWebApp\httpserver\httprequest.cpp 127
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: extract and decode request parameters QtWebApp\httpserver\httprequest.cpp 216
13.03.2021 20:48:28.058 0 DEBUG     HttpRequest: extract cookies QtWebApp\httpserver\httprequest.cpp 262
13.03.2021 20:48:28.058 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): received request QtWebApp\httpserver\httpconnectionhandler.cpp 192
13.03.2021 20:48:28.058 0 DEBUG     StaticFileController: Cache miss for /css/stylereg.css QtWebApp\httpserver\staticfilecontroller.cpp 62
13.03.2021 20:48:28.059 0 DEBUG     StaticFileController: Open file D:/QtProjects/Morse/etc/static/css/stylereg.css QtWebApp\httpserver\staticfilecontroller.cpp 78
13.03.2021 20:48:28.059 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): finished request QtWebApp\httpserver\httpconnectionhandler.cpp 231
13.03.2021 20:48:38.072 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): read timeout occured QtWebApp\httpserver\httpconnectionhandler.cpp 129
13.03.2021 20:48:38.073 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): disconnected QtWebApp\httpserver\httpconnectionhandler.cpp 143
13.03.2021 20:48:42.723 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): handle new connection QtWebApp\httpserver\httpconnectionhandler.cpp 82
13.03.2021 20:48:42.725 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): read input QtWebApp\httpserver\httpconnectionhandler.cpp 155
13.03.2021 20:48:42.725 0 DEBUG     HttpRequest: read request QtWebApp\httpserver\httprequest.cpp 27
13.03.2021 20:48:42.725 0 DEBUG     HttpRequest: from 127.0.0.1: POST /sign-up HTTP/1.1 QtWebApp\httpserver\httprequest.cpp 44
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: received header host: localhost:8096 QtWebApp\httpserver\httprequest.cpp 85
